"time","class","pkts","tcp_retx_pkts"
"27-Sep-2013 20:00:00","Inbound",7012446,73021
"27-Sep-2013 20:00:00","Outbound",6415754,27055
"27-Sep-2013 19:00:00","Inbound",10881962,211565
"27-Sep-2013 19:00:00","Outbound",9688498,40646
"27-Sep-2013 18:00:00","Inbound",11222130,267888
"27-Sep-2013 18:00:00","Outbound",9699378,35520
"27-Sep-2013 17:00:00","Inbound",12719902,325425
"27-Sep-2013 17:00:00","Outbound",11502974,45030
"27-Sep-2013 16:00:00","Inbound",10724115,277306
"27-Sep-2013 16:00:00","Outbound",9260837,30571
"27-Sep-2013 15:00:00","Inbound",4816796,9996
"27-Sep-2013 15:00:00","Outbound",5299773,27526
"27-Sep-2013 14:00:00","Inbound",6000024,32455
"27-Sep-2013 14:00:00","Outbound",5768910,26833
"27-Sep-2013 13:00:00","Inbound",11766981,216831
"27-Sep-2013 13:00:00","Outbound",10412249,54995
"27-Sep-2013 12:00:00","Inbound",11601793,110322
"27-Sep-2013 12:00:00","Outbound",11673121,113380
"27-Sep-2013 11:00:00","Inbound",11737000,273752
"27-Sep-2013 11:00:00","Outbound",10717065,66002
"27-Sep-2013 10:00:00","Inbound",14783032,309685
"27-Sep-2013 10:00:00","Outbound",11592130,32501
"27-Sep-2013 09:00:00","Inbound",8406964,40350
"27-Sep-2013 09:00:00","Outbound",7610780,31834
"27-Sep-2013 08:00:00","Inbound",12162420,21588
"27-Sep-2013 08:00:00","Outbound",9133044,16694
"27-Sep-2013 07:00:00","Inbound",11394784,17353
"27-Sep-2013 07:00:00","Outbound",7751392,12784
"27-Sep-2013 06:00:00","Inbound",2217504,2505
"27-Sep-2013 06:00:00","Outbound",2653428,13287
"27-Sep-2013 05:00:00","Inbound",1583633,2482
"27-Sep-2013 05:00:00","Outbound",2124466,14126
"27-Sep-2013 04:00:00","Inbound",1716290,3000
"27-Sep-2013 04:00:00","Outbound",2286296,14331
"27-Sep-2013 03:00:00","Inbound",2183936,2651
"27-Sep-2013 03:00:00","Outbound",2535325,14591
"27-Sep-2013 02:00:00","Inbound",2235200,4128
"27-Sep-2013 02:00:00","Outbound",2605430,19080
"27-Sep-2013 01:00:00","Inbound",3034370,7565
"27-Sep-2013 01:00:00","Outbound",3449944,60820
"27-Sep-2013 00:00:00","Inbound",3587570,14889
"27-Sep-2013 00:00:00","Outbound",4235121,26594
"26-Sep-2013 23:00:00","Inbound",6080705,22131
"26-Sep-2013 23:00:00","Outbound",6591432,96757
"26-Sep-2013 22:00:00","Inbound",8689807,25718
"26-Sep-2013 22:00:00","Outbound",8495215,85839
"26-Sep-2013 21:00:00","Inbound",9578815,17325
"26-Sep-2013 21:00:00","Outbound",8168572,37311
"26-Sep-2013 20:00:00","Inbound",19459891,42789
"26-Sep-2013 20:00:00","Outbound",13125986,65777
"26-Sep-2013 19:00:00","Inbound",33016536,148152
"26-Sep-2013 19:00:00","Outbound",21332532,102941
"26-Sep-2013 18:00:00","Inbound",31120893,78861
"26-Sep-2013 18:00:00","Outbound",21656289,74917
"26-Sep-2013 17:00:00","Inbound",42627604,178314
"26-Sep-2013 17:00:00","Outbound",29452309,107969
"26-Sep-2013 16:00:00","Inbound",38184220,187536
"26-Sep-2013 16:00:00","Outbound",24705783,202830
"26-Sep-2013 15:00:00","Inbound",23604317,85666
"26-Sep-2013 15:00:00","Outbound",16372298,67683
"26-Sep-2013 14:00:00","Inbound",31698851,165342
"26-Sep-2013 14:00:00","Outbound",23033408,198682
"26-Sep-2013 13:00:00","Inbound",44101942,217672
"26-Sep-2013 13:00:00","Outbound",31238888,199427
"26-Sep-2013 12:00:00","Inbound",49983114,258279
"26-Sep-2013 12:00:00","Outbound",35599109,158468
"26-Sep-2013 11:00:00","Inbound",50259217,223028
"26-Sep-2013 11:00:00","Outbound",32351961,125004
"26-Sep-2013 10:00:00","Inbound",40287958,214733
"26-Sep-2013 10:00:00","Outbound",27065000,109377
"26-Sep-2013 09:00:00","Inbound",34183660,137658
"26-Sep-2013 09:00:00","Outbound",22766818,91467
"26-Sep-2013 08:00:00","Inbound",17867037,36834
"26-Sep-2013 08:00:00","Outbound",12824670,23386
"26-Sep-2013 07:00:00","Inbound",9426959,7255
"26-Sep-2013 07:00:00","Outbound",6536204,12473
"26-Sep-2013 06:00:00","Inbound",3257081,3921
"26-Sep-2013 06:00:00","Outbound",2951350,12528
"26-Sep-2013 05:00:00","Inbound",3928209,3395
"26-Sep-2013 05:00:00","Outbound",3346899,649001
"26-Sep-2013 04:00:00","Inbound",2602459,3850
"26-Sep-2013 04:00:00","Outbound",2786892,40110
"26-Sep-2013 03:00:00","Inbound",2671045,3481
"26-Sep-2013 03:00:00","Outbound",2974992,17388
"26-Sep-2013 02:00:00","Inbound",3052143,12505
"26-Sep-2013 02:00:00","Outbound",3405597,17732
"26-Sep-2013 01:00:00","Inbound",3131217,14426
"26-Sep-2013 01:00:00","Outbound",4047161,25001
"26-Sep-2013 00:00:00","Inbound",4667867,19587
"26-Sep-2013 00:00:00","Outbound",5252081,27045
"25-Sep-2013 23:00:00","Inbound",9461358,27399
"25-Sep-2013 23:00:00","Outbound",8797176,35075
"25-Sep-2013 22:00:00","Inbound",14335577,31135
"25-Sep-2013 22:00:00","Outbound",11926400,43134
"25-Sep-2013 21:00:00","Inbound",11108150,27745
"25-Sep-2013 21:00:00","Outbound",10526848,175782
"25-Sep-2013 20:00:00","Inbound",19008377,115688
"25-Sep-2013 20:00:00","Outbound",14417170,63822
"25-Sep-2013 19:00:00","Inbound",27101279,324209
"25-Sep-2013 19:00:00","Outbound",20948483,106895
"25-Sep-2013 18:00:00","Inbound",31671377,175124
"25-Sep-2013 18:00:00","Outbound",23739778,138869
"25-Sep-2013 17:00:00","Inbound",41622666,633796
"25-Sep-2013 17:00:00","Outbound",29436220,179368
"25-Sep-2013 16:00:00","Inbound",35265542,696819
"25-Sep-2013 16:00:00","Outbound",26604490,113714
"25-Sep-2013 15:00:00","Inbound",26881615,78665
"25-Sep-2013 15:00:00","Outbound",22547581,79093
"25-Sep-2013 14:00:00","Inbound",27802049,196679
"25-Sep-2013 14:00:00","Outbound",20559549,85347
"25-Sep-2013 13:00:00","Inbound",42357308,510526
"25-Sep-2013 13:00:00","Outbound",29653204,126758
"25-Sep-2013 12:00:00","Inbound",47824283,611246
"25-Sep-2013 12:00:00","Outbound",34239250,169917
"25-Sep-2013 11:00:00","Inbound",41654189,526697
"25-Sep-2013 11:00:00","Outbound",28917607,383750
"25-Sep-2013 10:00:00","Inbound",42253136,293791
"25-Sep-2013 10:00:00","Outbound",30938450,422635
"25-Sep-2013 09:00:00","Inbound",34537833,226767
"25-Sep-2013 09:00:00","Outbound",23464539,102881
"25-Sep-2013 08:00:00","Inbound",19675155,22586
"25-Sep-2013 08:00:00","Outbound",14652243,66201
"25-Sep-2013 07:00:00","Inbound",8478996,7433
"25-Sep-2013 07:00:00","Outbound",6487603,13892
"25-Sep-2013 06:00:00","Inbound",2145259,3403
"25-Sep-2013 06:00:00","Outbound",2536556,14470
"25-Sep-2013 05:00:00","Inbound",1638614,3432
"25-Sep-2013 05:00:00","Outbound",2147864,16557
"25-Sep-2013 04:00:00","Inbound",2880345,2968
"25-Sep-2013 04:00:00","Outbound",2770461,18260
"25-Sep-2013 03:00:00","Inbound",1920777,3111
"25-Sep-2013 03:00:00","Outbound",2199240,20394
"25-Sep-2013 02:00:00","Inbound",2549607,6011
"25-Sep-2013 02:00:00","Outbound",2903742,28917
"25-Sep-2013 01:00:00","Inbound",2712077,5175
"25-Sep-2013 01:00:00","Outbound",3333499,29600
"25-Sep-2013 00:00:00","Inbound",3916247,10455
"25-Sep-2013 00:00:00","Outbound",4900455,36541
"24-Sep-2013 23:00:00","Inbound",5821524,19377
"24-Sep-2013 23:00:00","Outbound",7045994,50160
"24-Sep-2013 22:00:00","Inbound",10967158,28623
"24-Sep-2013 22:00:00","Outbound",9670338,47944
"24-Sep-2013 21:00:00","Inbound",16591125,44584
"24-Sep-2013 21:00:00","Outbound",12518349,316297
"24-Sep-2013 20:00:00","Inbound",22709903,293518
"24-Sep-2013 20:00:00","Outbound",19154007,611791
"24-Sep-2013 19:00:00","Inbound",30497008,230403
"24-Sep-2013 19:00:00","Outbound",23705278,95566
"24-Sep-2013 18:00:00","Inbound",42765097,199777
"24-Sep-2013 18:00:00","Outbound",30040954,125276
"24-Sep-2013 17:00:00","Inbound",44174895,369402
"24-Sep-2013 17:00:00","Outbound",31638789,208644
